,ID,label,recived,sent,freight_flow
323,descalvado,descalvado,7.0,7.0,14.0
324,mineiros do tiete,mineiros do tiete,3.0,28.0,31.0
325,ajapi,ajapi,1.0,0.0,1.0
326,orlandia,orlandia,28.0,21.0,49.0
327,sao jose da bela vista,sao jose da bela vista,5.0,0.0,5.0
328,macatuba,macatuba,20.0,1.0,21.0
329,taboao da serra,taboao da serra,317.0,32.0,349.0
330,santa barbara d oeste,santa barbara d oeste,4.0,5.0,9.0
331,nazare paulista,nazare paulista,8.0,0.0,8.0
332,sao vicente,sao vicente,148.0,1.0,149.0
333,balbinos,balbinos,1.0,0.0,1.0
334,espigao,espigao,2.0,0.0,2.0
335,embauba,embauba,1.0,0.0,1.0
336,mirandopolis,mirandopolis,14.0,36.0,50.0
337,mirante do paranapanema,mirante do paranapanema,2.0,0.0,2.0
338,guaira,guaira,46.0,1.0,47.0
339,fernando prestes,fernando prestes,6.0,2.0,8.0
340,santo anastacio,santo anastacio,24.0,0.0,24.0
341,urupes,urupes,14.0,0.0,14.0
342,catigua,catigua,4.0,0.0,4.0
343,mairipora,mairipora,69.0,14.0,83.0
344,viradouro,viradouro,14.0,0.0,14.0
345,jacarei / sao paulo,jacarei / sao paulo,0.0,24.0,24.0
346,cananeia,cananeia,7.0,4.0,11.0
347,estrela do norte,estrela do norte,3.0,0.0,3.0
348,jaboticabal,jaboticabal,51.0,59.0,110.0
349,aguas de lindoia,aguas de lindoia,18.0,0.0,18.0
350,macaubal,macaubal,2.0,0.0,2.0
351,barra do turvo,barra do turvo,4.0,0.0,4.0
352,nova independencia,nova independencia,1.0,0.0,1.0
353,ipero,ipero,15.0,0.0,15.0
354,piracicaba,piracicaba,338.0,1176.0,1514.0
355,nova campina,nova campina,1.0,0.0,1.0
356,vargem grande paulista,vargem grande paulista,45.0,10.0,55.0
357,garca,garca,26.0,48.0,74.0
358,araras,araras,105.0,30.0,135.0
359,garulhos,garulhos,0.0,12.0,12.0
360,auriflama/sp,auriflama/sp,0.0,3.0,3.0
361,sertaozinho,sertaozinho,77.0,0.0,77.0
362,sando andre,sando andre,0.0,10.0,10.0
363,avare,avare,52.0,1.0,53.0
364,diadema,diadema,285.0,83.0,368.0
365,colombia,colombia,3.0,0.0,3.0
366,ribeira,ribeira,3.0,0.0,3.0
367,boa esperanca do sul,boa esperanca do sul,8.0,0.0,8.0
368,quata,quata,11.0,0.0,11.0
369,santo antonio da alegria,santo antonio da alegria,2.0,0.0,2.0
370,mogi das cruzes,mogi das cruzes,382.0,282.0,664.0
371,gastao vidigal,gastao vidigal,2.0,0.0,2.0
372,itapolis,itapolis,38.0,0.0,38.0
373,sao jose do rio pardo,sao jose do rio pardo,35.0,12.0,47.0
374,londrina,londrina,0.0,1.0,1.0
375,neves paulista,neves paulista,2.0,0.0,2.0
376,belo horizonte,belo horizonte,0.0,62.0,62.0
377,fernao,fernao,1.0,0.0,1.0
378,ipaussu,ipaussu,11.0,32.0,43.0
379,sao jose dos pinhais,sao jose dos pinhais,0.0,2.0,2.0
380,paulo de faria,paulo de faria,8.0,0.0,8.0
381,santana de parnaiba,santana de parnaiba,189.0,49.0,238.0
382,americana,americana,221.0,69.0,290.0
383,jaci,jaci,1.0,4.0,5.0
384,sbc/sp,sbc/sp,0.0,6.0,6.0
385,adamantina,adamantina,33.0,0.0,33.0
386,cajuru,cajuru,6.0,0.0,6.0
387,rio de janeiro,rio de janeiro,0.0,2.0,2.0
388,guaraci,guaraci,2.0,0.0,2.0
389,ibitiuva,ibitiuva,1.0,0.0,1.0
390,sao sebastiao da grama,sao sebastiao da grama,2.0,0.0,2.0
391,mariapolis,mariapolis,2.0,0.0,2.0
392,ribeirao preto,ribeirao preto,504.0,1115.0,1619.0
393,taquarituba,taquarituba,13.0,0.0,13.0
394,bernardino de campos,bernardino de campos,3.0,0.0,3.0
395,sao caetano do sul,sao caetano do sul,248.0,80.0,328.0
396,maristela,maristela,3.0,0.0,3.0
397,barretos,barretos,72.0,21.0,93.0
398,rancharia,rancharia,19.0,0.0,19.0
399,santo expedito,santo expedito,1.0,0.0,1.0
400,brotas,brotas,11.0,8.0,19.0
401,espirito santo do turvo,espirito santo do turvo,1.0,0.0,1.0
402,torrinha,torrinha,3.0,0.0,3.0
403,julio mesquita,julio mesquita,1.0,0.0,1.0
404,vicente de carvalho,vicente de carvalho,0.0,230.0,230.0
405,serra negra,serra negra,16.0,64.0,80.0
406,caconde,caconde,6.0,0.0,6.0
407,alvaro de carvalho,alvaro de carvalho,2.0,0.0,2.0
408,caiua,caiua,2.0,0.0,2.0
409,sao carlos,sao carlos,205.0,78.0,283.0
410,guapiacu,guapiacu,5.0,0.0,5.0
411,tupi paulista,tupi paulista,9.0,0.0,9.0
412,mogi-mirim,mogi-mirim,2.0,0.0,2.0
413,pirapozinho,pirapozinho,12.0,0.0,12.0
414,iepe,iepe,6.0,0.0,6.0
415,quadra,quadra,1.0,0.0,1.0
416,nipoa,nipoa,1.0,0.0,1.0
417,marechal candido rondon,marechal candido rondon,0.0,9.0,9.0
418,s jose do rio preto,s jose do rio preto,0.0,130.0,130.0
419,votuporanga,votuporanga,75.0,45.0,120.0
420,cachoeira paulista,cachoeira paulista,20.0,0.0,20.0
421,bebedouro,bebedouro,46.0,57.0,103.0
422,santa rosa de viterbo,santa rosa de viterbo,17.0,6.0,23.0
423,santa ernestina,santa ernestina,1.0,0.0,1.0
424,ituverava,ituverava,33.0,0.0,33.0
425,porto ferreira,porto ferreira,42.0,145.0,187.0
426,jaborandi,jaborandi,2.0,0.0,2.0
427,aparecida d'oeste,aparecida d'oeste,1.0,0.0,1.0
428,ilha solteira,ilha solteira,19.0,0.0,19.0
429,santo andre,santo andre,766.0,1578.0,2344.0
430,suzano,suzano,228.0,40.0,268.0
431,presidente venceslau,presidente venceslau,49.0,0.0,49.0
432,promissao,promissao,27.0,0.0,27.0
433,vargem grande do sul,vargem grande do sul,8.0,3.0,11.0
434,guaracai,guaracai,6.0,0.0,6.0
435,brauna,brauna,3.0,0.0,3.0
436,santa branca,santa branca,4.0,0.0,4.0
437,miracatu,miracatu,12.0,0.0,12.0
438,bertioga,bertioga,44.0,63.0,107.0
439,jandira,jandira,103.0,0.0,103.0
440,sete barras,sete barras,3.0,0.0,3.0
441,boituva,boituva,54.0,8.0,62.0
442,sao jose dos campos,sao jose dos campos,682.0,768.0,1450.0
443,monte alto,monte alto,24.0,2.0,26.0
444,lins,lins,36.0,0.0,36.0
445,boraceia,boraceia,1.0,0.0,1.0
446,lencois paulista,lencois paulista,36.0,44.0,80.0
447,piratininga,piratininga,9.0,0.0,9.0
448,oleo,oleo,1.0,0.0,1.0
449,coroados,coroados,2.0,0.0,2.0
450,sao joao de iracema,sao joao de iracema,3.0,0.0,3.0
451,jacupiranga,jacupiranga,5.0,0.0,5.0
452,cesario lange,cesario lange,9.0,0.0,9.0
453,jacarei,jacarei,178.0,384.0,562.0
454,ilhabela,ilhabela,37.0,0.0,37.0
455,sao roque,sao roque,69.0,70.0,139.0
456,conchal,conchal,9.0,8.0,17.0
457,ibate,ibate,14.0,0.0,14.0
458,buri,buri,7.0,0.0,7.0
459,terra roxa,terra roxa,1.0,0.0,1.0
460,guariroba,guariroba,2.0,0.0,2.0
461,mairinque,mairinque,26.0,2.0,28.0
462,bilac,bilac,10.0,0.0,10.0
463,osvaldo cruz,osvaldo cruz,20.0,0.0,20.0
464,nuporanga,nuporanga,2.0,0.0,2.0
465,santo antonio do jardim,santo antonio do jardim,5.0,0.0,5.0
466,mogi-guacu,mogi-guacu,114.0,0.0,114.0
467,sao bento do sapucai,sao bento do sapucai,7.0,0.0,7.0
468,saltinho,saltinho,9.0,0.0,9.0
469,mococa,mococa,31.0,27.0,58.0
470,pongai,pongai,6.0,0.0,6.0
471,cerqueira cesar,cerqueira cesar,23.0,5.0,28.0
472,bauru,bauru,229.0,112.0,341.0
473,morro agudo,morro agudo,63.0,0.0,63.0
474,campina do monte alegre,campina do monte alegre,2.0,0.0,2.0
475,lourdes,lourdes,1.0,0.0,1.0
476,analandia,analandia,4.0,0.0,4.0
477,queluz,queluz,1.0,0.0,1.0
478,florianopolis,florianopolis,0.0,8.0,8.0
479,itajobi,itajobi,34.0,6.0,40.0
480,ao bernardo do campo,ao bernardo do campo,0.0,2.0,2.0
