,seller_city,customer_city,frequency,freight_value,delay,phy_dist,efficiency
3965,pradopolis,suzano,1,13.32,9.207488425925925,304.2617999935316,0.030261729951382887
3966,praia grande,aluminio,1,13.71,30.120555555555555,100.85960523910039,0.298638443846285
3967,praia grande,americana,4,7.8825,7.470868055555555,168.2735749839254,0.0444487570349174
3968,praia grande,aracatuba,1,11.91,7.641354166666667,518.7331370534256,0.014730800137566042
3969,praia grande,araraquara,2,12.82,11.874461805555555,305.33558648945916,0.039007861996881
3970,praia grande,araras,1,8.96,3.2591782407407406,206.3671818743666,0.015793103395310606
3971,praia grande,aruja,5,9.9275,4.090338541666667,69.5377737356997,0.05854663350618404
3972,praia grande,assis,1,13.59,5.871793981481481,428.89487735793296,0.013690520198452249
3973,praia grande,atibaia,5,10.1325,4.948654513888889,100.9621340512915,0.04900052761351235
3974,praia grande,auriflama,1,13.28,7.488136574074074,560.0870719817818,0.013369593673316645
3975,praia grande,avare,1,11.85,12.09230324074074,270.20012873999815,0.044753136488608555
3976,praia grande,barra bonita,1,12.79,5.371006944444445,276.56231763541405,0.019420602887501557
3977,praia grande,barretos,6,13.276666666666666,18.433055555555555,440.49904902212853,0.04187383307596679
3978,praia grande,barrinha,2,12.530000000000001,7.7610474537037035,359.8994017925728,0.021561483647483934
3979,praia grande,barueri,8,11.046249999999999,3.5234519675925924,72.12728266196414,0.048896182938233924
3980,praia grande,bastos,3,16.796666666666667,11.237719907407408,494.3995890628198,0.022730034886779632
3981,praia grande,bauru,3,13.023333333333333,8.409351851851852,327.7450666227553,0.025666502548092232
3982,praia grande,bebedouro,2,11.190000000000001,8.324305555555556,402.0898720474951,0.020699855637308362
3983,praia grande,birigui,1,12.61,8.1103125,501.8358050176434,0.01616128705626108
3984,praia grande,bocaina,1,27.33,7.053888888888889,296.42020806063437,0.023796923074306656
3985,praia grande,botucatu,1,14.7,6.286296296296296,235.21242842391857,0.026726037983701406
3986,praia grande,braganca paulista,1,8.36,31.519050925925924,117.58911936232279,0.26804394060310544
3987,praia grande,buri,1,11.85,5.301712962962963,222.92351906216868,0.02378265418232711
3988,praia grande,buritama,1,12.45,12.635162037037038,503.3026459250331,0.02510450151481827
3989,praia grande,buritizal,1,12.96,8.346041666666666,444.5987510521666,0.018772076275327617
3990,praia grande,cacapava,1,11.85,4.857581018518519,129.94394944931855,0.03738212544026991
3991,praia grande,cajamar,3,8.336666666666666,4.172345679012346,84.70282448737517,0.049184725102388686
3992,praia grande,campinas,24,9.473913043478262,7.610632045088567,139.2502402912007,0.05476372952484431
3993,praia grande,campos do jordao,1,19.95,7.1132175925925925,169.86358629417526,0.04187605918241766
3994,praia grande,caraguatatuba,2,12.855,6.525202546296296,110.33525320313808,0.05909519090108008
3995,praia grande,carapicuiba,6,9.019999999999998,6.0829706790123454,66.38592973544337,0.0915367716604416
3996,praia grande,casa branca,1,12.79,11.336446759259259,255.72939398479286,0.044329854236206376
3997,praia grande,cosmopolis,1,9.94,4.275324074074074,171.15073453797996,0.02497987569621175
3998,praia grande,cotia,1,9.27,3.779965277777778,61.9143201608921,0.061051551045946485
3999,praia grande,cravinhos,1,12.81,2.868009259259259,325.5239540617049,0.00881043997983513
4000,praia grande,diadema,8,8.257142857142856,3.682647156084656,40.592150652281624,0.09193443881929116
4001,praia grande,dourado,1,13.6,17.579074074074075,283.9372152287561,0.06191183519184467
4002,praia grande,eldorado,2,13.29,3.502476851851852,161.63657290741278,0.021668838857763394
4003,praia grande,embu das artes,1,9.94,4.023506944444445,59.767796065087936,0.06731897793358134
4004,praia grande,espirito santo do pinhal,1,11.85,10.536724537037037,205.77597258364924,0.05120483409574843
4005,praia grande,ferraz de vasconcelos,9,8.77,3.5538508597883594,52.21367210488469,0.06756887079096496
4006,praia grande,franca,1,12.79,13.539594907407407,400.0245350273505,0.03384691118128961
4007,praia grande,francisco morato,2,7.87,9.34619212962963,87.00637574247148,0.10691690619840924
4008,praia grande,franco da rocha,3,8.933333333333332,2.957399691358025,81.8788182384177,0.03607905421215101
4009,praia grande,guaira,2,14.84,15.43365162037037,453.98425995605055,0.033996005988984015
4010,praia grande,guaruja,6,8.708333333333332,5.794442515432099,19.493408616244157,0.3352802549287546
4011,praia grande,guarulhos,27,9.458076923076923,4.5973237179487185,64.40988205096451,0.07137439336875313
